Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-1094,29.251508262548132,-26.203611790318732,546.895376745001,161215.57851758954
STARLINK-1096,46.23367273849055,136.14101837934086,451.9294829344229,110087.96694867797
STARLINK-1108,14.606932382757217,169.17293188088223,278.3491844521566,41761.72299597908
STARLINK-1109,-51.146500436070156,110.34749992722051,564.3132763595606,171648.11470656932
STARLINK-1122,17.0295762579825,-168.19231564705527,546.4937609234057,160978.88624991485
STARLINK-1117,42.62545469040331,-44.94262214446262,549.2125497879995,162584.6000781825
STARLINK-1066,-37.89422016184942,122.96079362274608,559.7963348697506,168911.26071994158
STARLINK-1076,48.952503716134586,-142.22415678094515,551.3655726170384,163861.8268475607
STARLINK-1080,23.660714598116236,177.69745987600163,547.2072483044678,161399.49994716953
STARLINK-1088,2.6214686502522926,88.93536063575898,443.1135013664764,105834.79375240873
STARLINK-1089,-23.161177314598955,114.17147254511872,277.5835357540392,41532.29295313336
STARLINK-1090,7.944214785719473,164.5571398342522,547.102887450181,161337.94307429178
STARLINK-1092,37.889369460127135,-165.83600203077745,549.20500835127,162580.1350926063
STARLINK-1093,8.094946550032677,-27.540046749054362,546.2927637531444,160860.49386305403
STARLINK-1107,-43.718149366126895,22.305031297799413,541.0949723370736,157813.9896702725
STARLINK-1115,-38.60862818189616,114.50627644835306,519.7857968148887,145628.81593797432
STARLINK-1132,-37.932951732809244,-25.77345491947759,559.5266955446788,168748.57959270955
STARLINK-1131,-0.5459419845642809,138.69956191922637,547.9878147219227,161860.28654819969
STARLINK-1134,-43.81418654449541,4.430113473580158,562.0709794884972,170286.73841095433
STARLINK-1135,53.078356163187976,120.32357069779204,379.83833480129823,77767.133065627
STARLINK-1148,31.71724870632253,157.23636531904194,508.0798537987215,139143.34883636847
STARLINK-1156,15.968154377376699,-53.79176158593031,546.3245328839364,160879.20378199508
STARLINK-1159,52.043337570552126,-147.91219327389888,552.2085358172591,164363.25489257916
STARLINK-1162,44.16613031000156,-88.03586041703014,550.3227823056011,163242.59362544463
STARLINK-1166,15.84882176176567,150.82742006194414,546.7686177199577,161140.85431198377
STARLINK-1169,-16.19816386432744,126.01595104638184,551.695750824257,164058.13871951247
STARLINK-1171,43.897950851043184,-175.39828079364233,550.4910337826468,163342.42596737345
STARLINK-1133,-7.722082334749978,112.74318788539769,549.2102316016802,162583.22756548104
STARLINK-1139,45.49236123183287,91.19379790876417,358.5201396453791,69282.82949194356
STARLINK-1145,48.809193317464775,-120.16589262819848,551.2331216580006,163783.10938557377
STARLINK-1150,23.837615561313573,137.86446165370975,547.2272109331587,161411.276169317
STARLINK-1161,0.5819406083651365,-64.80748335547032,516.2791422488954,143670.51935694847
STARLINK-1167,-17.25834737515838,-47.98197695282232,553.4569373756692,165107.2610883243
STARLINK-1168,-8.331760894834245,-55.14739953959942,548.7987439385392,162339.692663041
STARLINK-1170,38.42304940672684,154.959050507807,549.2756162328888,162621.94161905002
STARLINK-1172,37.89530276089783,-97.04238126321007,548.9435948265915,162425.40041004083
STARLINK-1174,-37.56208756816934,83.4445315494895,559.6084006240262,168797.86633046807
STARLINK-1177,8.791568352461438,-68.07454037665659,546.7138093238909,161108.55023006123
STARLINK-1153,-48.90615733764653,-2.3822144746261404,564.2854354138503,171631.17827016595
STARLINK-1151,-23.340799181149965,99.81021279993553,553.8760797436288,165357.4328656748
STARLINK-1190,-52.13449874530929,32.7343638350429,565.4913016396596,172365.50656328184
STARLINK-1173,0.812049888004815,99.17245742255965,547.5216607003439,161585.02593337683
STARLINK-1179,16.803247658890623,111.61889738433031,546.4396213300496,160946.9923826395
